"debamlen";"andrewchow"
"paulkrugman";"andrewrevkin"
"debamlen";"debamlen"
"debamlen";"andrewrevkin"
"michaelde la merced";"michaelde la merced"
"debamlen";"patrickhealy"
"brooksbarnes";"andrewrevkin"
"debamlen";"jeremyegner"
"debamlen";"andreakannapell"
"michaelde la merced";"michaelcooper"
"debamlen";"michaelcooper"
"paulkrugman";"malinagilchrist"
"michaelcooper";"brooksbarnes"
"andrewrevkin";"andrewrevkin"
"debamlen";"andrewrevkin"
"michaelde la merced";"debamlen"
"debamlen";"patrickhealy"
"mikeisaac";"debamlen"
"patrickhealy";"patrickhealy"
"alanrappeport";"patrickhealy"
"debamlen";"michaelde la merced"
"paulkrugman";"maggiehaberman"
"debamlen";"maggiehaberman"
"debamlen";"brooksbarnes"
"mikeisaac";"mikeisaac"
"andrewrevkin";"mikeisaac"
"alanrappeport";"michaelde la merced"
"andrewrevkin";"debamlen"
"debamlen";"mikeisaac"
"debamlen";"andrewrevkin"
"debamlen";"patrickhealy"
"patrickhealy";"debamlen"
"mikeisaac";"andrewrevkin"
"debamlen";"jeremyegner"
"andrewrevkin";"maggiehaberman"
"michaelde la merced";"paulkrugman"
"paulkrugman";"malinagilchrist"
"debamlen";"michaelde la merced"
"paulkrugman";"andrewrevkin"
"debamlen";"michaelde la merced"
"debamlen";"brooksbarnes"
"jeremyegner";"alanrappeport"
"paulkrugman";"paulkrugman"
"debamlen";"patrickhealy"
"debamlen";"malinagilchrist"
"paulkrugman";"alanrappeport"
"michaelde la merced";"andrewrevkin"
"debamlen";"debamlen"
"paulkrugman";"debamlen"
"paulkrugman";"andreakannapell"
"michaelde la merced";"paulkrugman"
"alanrappeport";"andrewchow"
"debamlen";"michaelde la merced"
"debamlen";"andrewchow"
"brooksbarnes";"andreakannapell"
"brooksbarnes";"jeremyegner"
"michaelde la merced";"maggiehaberman"
"michaelde la merced";"maggiehaberman"
"debamlen";"paulkrugman"
"brooksbarnes";"brooksbarnes"
"debamlen";"brooksbarnes"
"jeremyegner";"malinagilchrist"
"paulkrugman";"patrickhealy"
"malinagilchrist";"andrewrevkin"
"alanrappeport";"patrickhealy"
"andrewrevkin";"maggiehaberman"
"patrickhealy";"malinagilchrist"
"michaelcooper";"michaelcooper"
"debamlen";"mikeisaac"
"alanrappeport";"brooksbarnes"
"michaelcooper";"michaelcooper"
"michaelde la merced";"michaelde la merced"
"debamlen";"paulkrugman"
"michaelde la merced";"michaelde la merced"
"debamlen";"debamlen"
"michaelde la merced";"andreakannapell"
"debamlen";"debamlen"
"debamlen";"jeremyegner"
"paulkrugman";"paulkrugman"
"malinagilchrist";"andrewrevkin"
"mikeisaac";"andrewrevkin"
"debamlen";"andreakannapell"
"debamlen";"maggiehaberman"
"michaelde la merced";"debamlen"
"debamlen";"alanrappeport"
"mikeisaac";"michaelde la merced"
"jeremyegner";"brooksbarnes"
"michaelcooper";"michaelde la merced"
"alanrappeport";"michaelde la merced"
"michaelde la merced";"andrewchow"
"paulkrugman";"brooksbarnes"
"patrickhealy";"patrickhealy"
"debamlen";"patrickhealy"
"alanrappeport";"malinagilchrist"
"debamlen";"andrewchow"
"michaelde la merced";"brooksbarnes"
"debamlen";"patrickhealy"
"paulkrugman";"malinagilchrist"
"michaelde la merced";"michaelde la merced"
"debamlen";"michaelde la merced"
"alanrappeport";"michaelde la merced"
"paulkrugman";"michaelde la merced"
"debamlen";"debamlen"
"paulkrugman";"mikeisaac"
"paulkrugman";"andrewchow"
"paulkrugman";"patrickhealy"
"jeremyegner";"brooksbarnes"
"debamlen";"paulkrugman"
"brooksbarnes";"michaelde la merced"
"debamlen";"maggiehaberman"
"patrickhealy";"michaelde la merced"
"alanrappeport";"maggiehaberman"
"debamlen";"mikeisaac"
"debamlen";"alanrappeport"
"alanrappeport";"andrewrevkin"
"debamlen";"michaelcooper"
"mikeisaac";"michaelcooper"
"andrewrevkin";"andrewrevkin"
"debamlen";"michaelde la merced"
"jeremyegner";"alanrappeport"
"debamlen";"malinagilchrist"
"debamlen";"malinagilchrist"
"brooksbarnes";"andrewchow"
"paulkrugman";"brooksbarnes"
"debamlen";"michaelcooper"
"mikeisaac";"patrickhealy"
"michaelde la merced";"brooksbarnes"
"malinagilchrist";"malinagilchrist"
"alanrappeport";"alanrappeport"
"debamlen";"michaelde la merced"
"maggiehaberman";"andrewchow"
"paulkrugman";"malinagilchrist"
"andrewrevkin";"patrickhealy"
"mikeisaac";"jeremyegner"
"debamlen";"michaelcooper"
"maggiehaberman";"michaelcooper"
"debamlen";"debamlen"
"michaelcooper";"alanrappeport"
"paulkrugman";"brooksbarnes"
"maggiehaberman";"brooksbarnes"
"debamlen";"malinagilchrist"
"maggiehaberman";"michaelde la merced"
"paulkrugman";"paulkrugman"
"jeremyegner";"andrewchow"
"debamlen";"mikeisaac"
"paulkrugman";"andrewchow"
"debamlen";"mikeisaac"
"patrickhealy";"alanrappeport"
"malinagilchrist";"andrewchow"
"brooksbarnes";"andrewrevkin"
"patrickhealy";"maggiehaberman"
"malinagilchrist";"maggiehaberman"
"debamlen";"andrewchow"
"maggiehaberman";"debamlen"
"alanrappeport";"michaelcooper"
"maggiehaberman";"jeremyegner"
"andrewrevkin";"jeremyegner"
"debamlen";"michaelcooper"
"debamlen";"andreakannapell"
"maggiehaberman";"debamlen"
"paulkrugman";"maggiehaberman"
"malinagilchrist";"maggiehaberman"
"mikeisaac";"malinagilchrist"
"debamlen";"paulkrugman"
"paulkrugman";"michaelde la merced"
"mikeisaac";"mikeisaac"
"michaelcooper";"andreakannapell"
"debamlen";"jeremyegner"
"malinagilchrist";"andrewchow"
"paulkrugman";"michaelcooper"
"jeremyegner";"jeremyegner"
"paulkrugman";"alanrappeport"
"debamlen";"alanrappeport"
"malinagilchrist";"jeremyegner"
"brooksbarnes";"brooksbarnes"
"debamlen";"michaelcooper"
"patrickhealy";"paulkrugman"
"debamlen";"andrewchow"
"alanrappeport";"michaelde la merced"
"andrewchow";"paulkrugman"
"debamlen";"jeremyegner"
"maggiehaberman";"alanrappeport"
"patrickhealy";"patrickhealy"
"alanrappeport";"malinagilchrist"
"debamlen";"paulkrugman"
"maggiehaberman";"michaelcooper"
"maggiehaberman";"michaelde la merced"
"malinagilchrist";"maggiehaberman"
"debamlen";"brooksbarnes"
"michaelcooper";"brooksbarnes"
"michaelcooper";"patrickhealy"
"malinagilchrist";"mikeisaac"
"alanrappeport";"malinagilchrist"
"maggiehaberman";"patrickhealy"
"debamlen";"maggiehaberman"
"jeremyegner";"paulkrugman"
"debamlen";"alanrappeport"
"malinagilchrist";"paulkrugman"
"malinagilchrist";"andreakannapell"
"malinagilchrist";"andrewrevkin"
"alanrappeport";"andreakannapell"
"maggiehaberman";"alanrappeport"
"maggiehaberman";"paulkrugman"
"debamlen";"andrewrevkin"
"alanrappeport";"mikeisaac"
"malinagilchrist";"michaelcooper"
"paulkrugman";"paulkrugman"
"malinagilchrist";"debamlen"
"debamlen";"debamlen"
"andrewchow";"mikeisaac"
"debamlen";"michaelde la merced"
"maggiehaberman";"jeremyegner"
"paulkrugman";"patrickhealy"
"debamlen";"paulkrugman"
"michaelcooper";"michaelcooper"
"debamlen";"andreakannapell"
"andrewrevkin";"paulkrugman"
"maggiehaberman";"maggiehaberman"
"mikeisaac";"michaelcooper"
"debamlen";"michaelcooper"
"maggiehaberman";"michaelde la merced"
"jeremyegner";"jeremyegner"
"mikeisaac";"malinagilchrist"
"debamlen";"maggiehaberman"
"debamlen";"debamlen"
"mikeisaac";"andrewrevkin"
"alanrappeport";"andrewchow"
"debamlen";"debamlen"
"andrewchow";"michaelde la merced"
"debamlen";"andrewchow"
"debamlen";"paulkrugman"
"maggiehaberman";"andrewrevkin"
"debamlen";"michaelcooper"
"michaelcooper";"jeremyegner"
"mikeisaac";"debamlen"
"paulkrugman";"andreakannapell"
"alanrappeport";"alanrappeport"
"debamlen";"andreakannapell"
"paulkrugman";"andrewchow"
"andrewrevkin";"michaelcooper"
"jeremyegner";"patrickhealy"
"andrewchow";"paulkrugman"
"debamlen";"jeremyegner"
"brooksbarnes";"jeremyegner"
"debamlen";"brooksbarnes"
"paulkrugman";"alanrappeport"
"maggiehaberman";"maggiehaberman"
"debamlen";"paulkrugman"
"maggiehaberman";"maggiehaberman"
"maggiehaberman";"andrewrevkin"
"andrewchow";"andrewchow"
"debamlen";"patrickhealy"
"andrewrevkin";"jeremyegner"
"debamlen";"michaelde la merced"
"maggiehaberman";"mikeisaac"
"debamlen";"debamlen"
"alanrappeport";"debamlen"
"paulkrugman";"alanrappeport"
"paulkrugman";"andrewchow"
"debamlen";"paulkrugman"
"debamlen";"michaelde la merced"
"paulkrugman";"debamlen"
"paulkrugman";"michaelde la merced"
"paulkrugman";"maggiehaberman"
"debamlen";"andrewrevkin"
"debamlen";"malinagilchrist"
"brooksbarnes";"mikeisaac"
"debamlen";"michaelcooper"
"andrewrevkin";"patrickhealy"
"debamlen";"maggiehaberman"
"alanrappeport";"paulkrugman"
"alanrappeport";"brooksbarnes"
"mikeisaac";"michaelde la merced"
"andrewchow";"alanrappeport"
"debamlen";"mikeisaac"
"maggiehaberman";"michaelcooper"
"paulkrugman";"paulkrugman"
"debamlen";"brooksbarnes"
"maggiehaberman";"patrickhealy"
"paulkrugman";"patrickhealy"
"debamlen";"maggiehaberman"
"paulkrugman";"michaelde la merced"
"andrewrevkin";"malinagilchrist"
"maggiehaberman";"andrewchow"
"michaelcooper";"jeremyegner"
"andrewchow";"patrickhealy"
"debamlen";"malinagilchrist"
"debamlen";"mikeisaac"
"andrewchow";"andrewrevkin"
"debamlen";"alanrappeport"
"paulkrugman";"patrickhealy"
"andrewrevkin";"andrewchow"
"debamlen";"andrewrevkin"
"michaelcooper";"michaelcooper"
"maggiehaberman";"michaelde la merced"
"debamlen";"debamlen"
"maggiehaberman";"mikeisaac"
"michaelde la merced";"debamlen"
"debamlen";"maggiehaberman"
"maggiehaberman";"paulkrugman"
"andreakannapell";"jeremyegner"
"alanrappeport";"alanrappeport"
"debamlen";"maggiehaberman"
"michaelcooper";"debamlen"
"andreakannapell";"debamlen"
"debamlen";"alanrappeport"
"jeremyegner";"jeremyegner"
"michaelcooper";"michaelde la merced"
"debamlen";"paulkrugman"
"alanrappeport";"andreakannapell"
"maggiehaberman";"brooksbarnes"
"maggiehaberman";"brooksbarnes"
"debamlen";"alanrappeport"
"alanrappeport";"mikeisaac"
"andreakannapell";"michaelde la merced"
"debamlen";"maggiehaberman"
"paulkrugman";"maggiehaberman"
"andreakannapell";"paulkrugman"
"debamlen";"andrewrevkin"
"andreakannapell";"brooksbarnes"
"mikeisaac";"patrickhealy"
"alanrappeport";"alanrappeport"
"debamlen";"andreakannapell"
"andreakannapell";"michaelcooper"
"paulkrugman";"alanrappeport"
"maggiehaberman";"paulkrugman"
"debamlen";"malinagilchrist"
"andreakannapell";"andreakannapell"
"patrickhealy";"mikeisaac"
"paulkrugman";"debamlen"
"debamlen";"mikeisaac"
"patrickhealy";"jeremyegner"
"paulkrugman";"malinagilchrist"
"debamlen";"brooksbarnes"
"jeremyegner";"paulkrugman"
"jeremyegner";"maggiehaberman"
"paulkrugman";"jeremyegner"
"debamlen";"mikeisaac"
"patrickhealy";"alanrappeport"
"andrewchow";"andrewrevkin"
"paulkrugman";"patrickhealy"
"andrewchow";"debamlen"
"paulkrugman";"maggiehaberman"
"debamlen";"debamlen"
"andreakannapell";"patrickhealy"
"patrickhealy";"jeremyegner"
"debamlen";"malinagilchrist"
"alanrappeport";"maggiehaberman"
"paulkrugman";"jeremyegner"
"andreakannapell";"mikeisaac"
"andrewchow";"andreakannapell"
"andrewrevkin";"andrewrevkin"
"maggiehaberman";"maggiehaberman"
"debamlen";"brooksbarnes"
"michaelcooper";"alanrappeport"
"andreakannapell";"alanrappeport"
"paulkrugman";"mikeisaac"
"debamlen";"debamlen"
"andreakannapell";"andrewchow"
"debamlen";"debamlen"
"maggiehaberman";"maggiehaberman"
"debamlen";"patrickhealy"
"paulkrugman";"brooksbarnes"
"paulkrugman";"patrickhealy"
"jeremyegner";"debamlen"
"debamlen";"maggiehaberman"
"paulkrugman";"jeremyegner"
